addr,chargeTp,cpNm,csId,csNm
서울특별시 광진구 구의동 199-18 지하2층 주차장,2,급속01,4151,구의삼성쉐르빌상가
서울특별시 양천구 목동 923-5 지하주차장,2,급속01,4041,한국방송광고진흥공사
서울특별시 성동구 성수동1가 656-334 지하4층 주차장,2,급속01,4150,서울숲M타워
서울특별시 광진구 구의동 199-18 지하2층 주차장,2,급속02,4151,구의삼성쉐르빌상가
서울특별시 광진구 구의동 199-18 지하2층 주차장,2,급속03,4151,구의삼성쉐르빌상가
서울특별시 중랑구 상봉동 485 신내테크노 타운 지하주차장,2,급속01,4145,신내테크노타운
서울특별시 동작구 상도동 301-132 주차장,2,급속01,4525,빙수골 장미주차장
서울특별시 구로구 구로동 139-82 지하1층주차장,2,급속01,4609,구로리공원
서울특별시 구로구 가리봉동 1-11 지하1층주차장,2,급속01,4610,하늘공원 공영주차장
서울특별시 중구 장충동2가 산 14-67 주차장,2,급속01,3993,국립중앙극장
서울특별시 중구 장충동2가 산 14-67 주차장,2,급속02,3993,국립중앙극장
서울특별시 중구 장충동2가 산 14-67 주차장,2,급속03,3993,국립중앙극장
서울특별시 서대문구 홍제동 38-69 출입문 인근,2,급속03,3995,서부수도사업소
서울특별시 서대문구 홍제동 38-69 출입문 인근,2,급속02,3995,서부수도사업소
서울특별시 중랑구 중화동 73-6 중화제2공영주차장,2,급속01,4154,태릉시장 중화공영주차장
"서울특별시 중랑구 망우로62길 52-4 (망우동, 우림시장 편의시설) 망우본동 공영주차장(우림시장) 1층",2,급속01,4152,우림골목시장 주차장
서울특별시 중랑구 중화동 73-6 중화제2공영주차장,2,급속02,4154,태릉시장 중화공영주차장
서울특별시 서초구 방배동 495-3 지상주차장,2,급속01,4612,방배복개도로 제2지역 공영주차장
서울특별시 마포구 공덕동 105-1 ,2,급속01,4931,서울서부지방검찰청
"서울특별시 성북구 동소문로 315 (길음동, 현대백화점미아점) 주차장",2,급속04,4808,현대백화점 미아점
"서울특별시 성북구 동소문로 315 (길음동, 현대백화점미아점) 주차장",2,급속01,4808,현대백화점 미아점
"서울특별시 성북구 동소문로 315 (길음동, 현대백화점미아점) 주차장",2,급속03,4808,현대백화점 미아점
서울특별시 강북구 미아동 190-1 지하 1층 주차장,2,급속05,10,강북성북지사(공용)
서울특별시 강북구 미아동 190-1 지하 1층 주차장,2,급속06,10,강북성북지사(공용)
